"","X","stationID","latitude","longitude","elevation","state","stationName","lcc_x","lcc_y","Xelevation","XlogElev","precip"
"38",345,"USC00020080",32.3697,-112.86,533.7,"AZ","AJO                           ",-124.283856288779,-22.2091796965043,533.7,6.29839762415187,0.402465753424658
"39",389,"USC00020678",35.2303,-111.8222,2179.9,"AZ","BELLEMONT WFO                 ",-122.761815402708,-19.2608076270093,2179.9,7.69161115966754,0.808493150684932
"40",391,"USC00020683",31.8806,-110.2403,1124.7,"AZ","BENSON  6 SE                  ",-121.945482149019,-23.1759185109749,1124.7,7.03412357779694,0.687603305785124
"41",393,"USC00020750",36.6778,-110.5411,2220.8,"AZ","BETATAKIN                     ",-121.357281255309,-17.8765423490981,2220.8,7.7101155445154,0.227671232876712
"42",400,"USC00020808",33.4783,-109.7517,1848.6,"AZ","BLACK RVR PUMPS               ",-121.213991226939,-21.4923699050064,1848.6,7.52757879512324,0.857692307692308
"43",421,"USC00021248",36.1533,-109.5394,1709.9,"AZ","CANYON DE CHELLY              ",-120.567688775562,-18.590702732122,1709.9,7.45002142858245,0.201643835616438
"44",426,"USC00021330",32.3222,-110.4147,973.5,"AZ","CASCABEL                      ",-122.028752624638,-22.6639675879267,973.5,6.89111763782911,0.879452054794521
"45",441,"USC00021664",32.0061,-109.3572,1615.4,"AZ","CHIRICAHUA NM                 ",-121.098929346409,-23.1673258344543,1615.4,7.3935092183191,1.18876712328767
"46",451,"USC00022109",34.305,-112.165,1149.4,"AZ","CORDES                        ",-123.252689095351,-20.2144642807761,1149.4,7.05565790890563,0.706027397260274
"47",465,"USC00022480",32.2844,-110.7314,828.8,"AZ","DESTINY RCH                   ",-122.3296653838,-22.6567384876533,828.8,6.73197229902777,0.863561643835616
"48",467,"USC00022527",35.2947,-113.3667,1674,"AZ","DIAMOND M RCH                 ",-124.121969473205,-18.9314612950935,1674,7.42892719480227,0.685479452054795
"49",474,"USC00022754",32.7481,-109.1214,1115.6,"AZ","DUNCAN                        ",-120.756574815438,-22.3835682864905,1115.6,7.02607150580018,0.894520547945206
